Nama,Alamat,Latitude,Longitude
Bengkel Motor Gondang,RY. KLATEN-YOGYAKARTA KM.4,-7.721944,110.5625
Makmur Guna Santoso,Jl. Brigjend Sudiarto No. 45,-7.260833,110.406111
King Abadi Jaya,JL. DEPOK NO. 2,-6.97667,110.42056
Kranggan Aji Motor 2,JALAN SUNAN ABINAWA PESANTREN,-6.96111,110.15222
Ud Tugu Sekawan,DS. CENDONO RT 02/RW 03,-6.73889,110.86528
PT. Taruna Adiprima Motor,JL. KUDUS JEPARA NO. 510,-6.80167,110.82361
Inti Motor Ii,Jl. Urip Sumoharjo 91,-7.484722,110.233611
Ums Motor,JL. GARUDA MAS KAMPUS 2,-7.55641,110.76972
Karya Agung,Jl. Slamet Riyadi 376A,-7.566111,110.773889
Jawa Motor,Jl. Indrakila 19,-7.664444,109.656944
Motor Cahaya Baru,JL.TENTARA PELAJAR NO.05 KEL.JOMBLANG,-7.008611,110.432778
Cv Laretigo,JL. MERDEKA NO. 1,-6.99028,108.85222
Bagus Motor,Komplek Pertokoan Sempu Blok B No. 11 dan 12,-7.0275,109.924444
Sinar Sakti Motor,Jl. Raya Bandungrejo Km. 10.9 DS. Bandungrejo,-7.022778,110.504444
Karunia Motor,JL. JEND. SUDIRMAN NO. 145 RT.001 RW.007 SIDAREJA,-7.485,108.79167
Ria Motor,Jl. S. Parman No. 61A prajuritan bawah,-7.363889,109.899722
Buana Sari Motor,JL. RAYA PEDAN-CAWAS KM.1,-7.697778,110.704722
Kurnia Agung Motor,Jl. Cemuh No. 13,-6.925833,110.151944
Alfa Motor,JL.RAYA TIMUR NO.50 KALIWUNGU,-6.962778,110.258056
Sidodadi,JL. Siliwangi 26,-6.986667,110.362778
Cv Eka Jaya,Jl. A. Yani No. 72,-7.051389,110.658056
Waras Motor,Jl. Karanganyar,-6.963889,110.148056
Agatha Motor,DK Danyung Rt 03 Rw03,-7.596111,110.809444
Cv Laretigo,JL. JEND. SUDIRMAN 164 RT. 005/002,-6.9375,108.89056
Osh Motor,Jl. Jendral Suprapto 34 Sokaraja Rt. 01/04,-7.454722,109.304722
Indah Motor,Jl. Raya Bandar 24,-7.032778,109.798889
Maju Motor,JL. Raya Gembong Utara Kedungwuni,-6.968333,109.646389
Resmi Motor,Jl. Syailendra Raya Borobudur,-7.606389,110.209722
Servis Honda Surat,"JL. Bendo- Bayat, wedi",-7.733056,110.585278
Karyaguna,JL. TAMPINGAN BOJA KM. 1 NO. 1,-7.10556,110.28139
Sappitu,Kauman Barat RT.01/RW.05,-7.762222,110.696667
PT. Antaboga Intinusa P.,Jl.Pati-Kayen Km. 11,-6.8325,111.014167
Piramida Motor,KENDAL KIDUL RT. 33 RW. 14,-7.7525,111.016389
Tawangsari Tentrem,"Ds. Kwaron, RT.01 RW.09",-7.729444,110.798611
Padmanaba Ii,Perintis Kemerdekaan RT/RW 08/10,-7.545556,110.605
Kantong Motor I,JL. RM. HADI SUBENO RT 01 RW 06,-7.05056,110.31917
Fida Sejahtera,Jl. Raya Wolter Mongisidi No.6,-6.9575,110.484722
Mitra Buana,"Jl. Pedan - Karangdowo, Desa / Kel. Jetis Wetan",-7.698611,110.708056
Sriwijaya Motor,Jl. Sriwijaya 90,-7.004722,110.428611
Cv Br Dua Lima Tujuh Lima,JL. DR. RAJIMAN 415 BARON,-7.57139,110.80472
Priyangan Motor,Jl. Adisumarno No.68,-7.539722,110.745556
Bengkel Joglo,"JL.RAYA SRAGEN-SOLO KM.4,DK.NGEPOS,JETAK",-7.426182,110.994605
Jatimas Motor,Jl. Karangjati Tarub Tegal,-6.945278,109.184444
Osh Motor,JL. JEND. A YANI 5C KANDANGGAMPANG PURBALINGGA,-7.39444,109.35333
Tama Motor,Jl. Solo - Karanganyar Jetak Rt. 02/07,-7.575278,110.888056
Ria Prembun,Jl.Raya Prembun 3/1,-7.722222,109.793889
Wahana Motor,Ds.Pekiringan Alit RT 06/IV,-7.038611,109.562222
Bugangan Motor,Jl. Dieng No. 111,-7.344167,109.906944
Sri Wibowo Motor,Desa kebarongan Rt. 02/09,-7.594722,109.288611
Harapan Kita Motor,JL. TENTARA PELAJAR,-6.940833,110.213611
Karya Gemilang,"Jl. Purwantoro, Ponorogo",-7.847222,111.263333
Kendali Motor,Jl Raya Karang Rayung,-7.109167,110.780278
Cv. Surya Motor,"Jl. Sukowati, Dk Kauman",-7.397778,110.830556
Toko Morodadi,JL. JEND. SUDIRMAN NO. 89,-7.16452,110.41337
Sinar Mulia,DESA BRAMBANG RT 04 RW 01,-7.04528,110.58056
Kartono Motor,JL. RAYA BARAT LEBAKSIU RT 05/06,-7.046389,109.04612
Teknik Kita,JL. SOEKARNO HATTA NO. 33,-7.18139,110.42444
Ums Motor 2,JL.ADI SUCIPTO NO 23 KEL. BLUBUKAN,-7.54556,110.77556
Wk. Putra Motor,"JL.CELEP KIDUL RT.001/014,DS.DAGEN KEC.JATEN",-7.567528,110.896861
Cv Kurnia Motor,DUKUH PABRIK,-7.36494,110.63861
Sarang Motor,Jl. AW. Sumarno No. 8 Purbalingga Lor Rt. 01/03,-7.741944,110.3625
Kersana Motor,"Slamet Riyadi 80,",-6.931389,108.859167
Raya Motor,Dsn. karangsari Rt. 07/02 Ds. Kawunganten Cilacap,-7.592222,108.918056
Piramida Baru Motor,"JL.KENTENG RT.02 RW.01,NGADIROJO KIDUL",-7.814444,110.986944
Kharisma Motor,JL. SUNAN BONANG NO. 16 DUKUHWALUH,-7.41167,109.26944
Indah Jaya Motor,Jl.Kedungmundu Raya No.84,-7.018476,110.455673
Prima Motor,Jl. Sawunggalih No. 33 Kutoarjo,-7.724167,109.910556
Horizon Motor Ii,JL. KH. A. Dahlan No. 40 Rt. 01 RW. 09,-6.973611,110.067222
Kurnia Agung Ii,DS KEBUMEN KEC.SUKOREJO,-7.08472,110.03861
Bengkel Morodadi,JL. SUYUDONO NO. 182,-6.99028,110.40361
Restu Buana,JL.RAYA NO. 18 SUMPIUH RT. 02/01,-7.61333,109.36528
Menoreh Sakti Motor,Jl. Menoreh Raya No.7,-7.009167,110.394167
Cv Sanjaya Gemilang,JL. JENDERAL SUDIRMAN NO. 705,-7.42722,109.25139
Wahana Motor Ii,Jl. Bahurekso Kec.Kajen,-7.021389,109.548611
Jaya Motor,JL. ADISUCIPTO 98,-7.51556,110.74528
Hasil Karya,Jl. Tugu Timur 26 RT 03/03 Sampang Cilacap,-7.561667,109.202222
Chandra Jaya Motor,Jl Letnan Suwaji 234,-7.28,110.102222
Anugerah Motor,Jl. Gatot Subroto No.10 Bulurejo,-7.495,110.211667
Cv Sahabat Sejati,JL. JATIMULYO NO. 12,-7.0555,110.4328
Kantong Motor Ii,KP.MAGERSARI RT.02 RW II KEL.GUNUNGPATI,-7.087013,110.362039
Jati Mas Motor,TRENGGULI,-6.87417,110.69833
Motor Gemilang Cahaya,JL. ANJASMORO RAYA NO.58-A KEL.KARANGAYU,-6.97946,110.389744
Zahra,Jl. Kedung Mundu 29,-7.017079,110.454965
Taruna Motor Ii,Jl. Raya Timur Km.6,-7.400278,111.061944
Cv Birawa Jaya,JL. KEDUNGMUNDU RAYA NO. 654,-7.02457,110.46735
Grias Motor,Jl.Raya Timur Jati Barang 77,-6.968056,109.061944
Salaman Motor,Jl. Raya Salaman-Magelang,-7.580278,110.141667
Manteb Motor,Jl. Raya Gulon 9,-7.593333,110.293889
Rajawali Motor,Jl. Raya Karangrejo No. 115,-6.914444,110.608333
