Nama,Alamat,Wilayah,Latitude,Longitude
Prima Zirang Utama Pati Honda,Jl. Dr. Susanto No. 18,"Parenggan, Kabupaten Pati",-6.74849,111.04148
Cendana Mekar Wangi,Jl. A. Yani No.88 Kel.Bener Kec. Wiradesa,"Kepatihan, Kabupaten Pekalongan",-6.890725,109.063205
Dealer Nusantara Sakti Sragen,Jl. Sukowati no.411,"Sragen Wetan, Kabupaten Sragen",-7.422078,111.033909
Naga Mas Motor Wonogiri,Jl. Diponegoro Jatirejo RT.01/08,"Wonoboyo, Kabupaten Wonogiri",-7.812328,110.937962
Astra Motor Rembang,Pemuda no. 55,"Leteh, Kabupaten Rembang",-6.715757,111.344243
Astra Motor Brebes 1 Ketanggungan,Jl A Yani No 50 Kel Brebes,"Brebes, Kabupaten Brebes",-6.931187,108.893012
Astra Motor Majenang,Jl. Diponegoro No. 288,"Padangjaya, Kabupaten Cilacap",-7.298611,108.769444
Cv. Cendana Mulia Ungaran,Jalan Diponegoro No. 244,"Karang Pandan, Kabupaten Semarang",-7.141741,110.405993
Astra Motor Pati Pemuda,Jl. Panglima Sudirman 70 RT 04/01,"Tayuwetan, Kabupaten Pati",-6.754184,111.04266
Honda Prima Pemalang,JL. MOHCTAR NO 9,"Pelutan, Kabupaten Pemalang",-6.891274,109.380201
Cv Mitra Angkasa Jaya Utama Ungaran,Jl. Jend. Sudirman 130 RT 003 RW 004,"Simomulyo, Kabupaten Semarang",-7.1846,110.293099
Dealer Honda Prima Batang & Ahass Prima Batang,JL. JEND. SUDIRMAN NO. 375,"Kasepuhan, Kabupaten Batang",-6.906776,109.728133
Dealer Dan Ahass Cm Jaya Motor Demak,"Jl. Sultan Fatah 8, Kel. Jogoloyo, Kec. Wonosalam","Bintoro, Kabupaten Demak",-6.904214,110.626559
Dealer Wing & Bengkel Honda Banjarnegara | Sanjaya Motor Banjarnegara,JL. LETJEN SUPRAPTO NO.66,"Kuta Banjarnegara, Kabupaten Banjarnegara",-7.39889,109.69028
Tunas Honda - Tdm Parakan,Jl. Raya Ngadirejo,"Parakan Kauman, Kabupaten Temanggung",-7.278611,110.097778
Cahaya Sakti Motor Sragen,"Jl. Raya Sukowati no, 412 Sragen","Sragen Wetan, Kabupaten Sragen",-7.424942,111.030364
